id,name,description
134,ادبیات کلاسیک,این نوع ادبیات موافق عقل و استدلال و منطق است. و همیشه خیل در آن محدود است . همچنین معتدل و میانه رو است. این نوع ادبیات ساده، زیبا و روان است و دارای قهرمان غیرعادی نیست بلکه افراد برجسته و نماینده یک گروه در آن قرار دارد. قانون وحدت سه گانه (وحدت موضوع، وحدت زمان و وحدت مکان) از اصول فراموش نشدنی متون کلاسیک است. درمتون کلاسیک خواننده معمولا با روند تعادل اولیه- عدم تعادل- رخداد و سپس تعادل ثانویه روبه رو است. نظرگاه متون کلاسیک معمولا دانای کل است و این نوع متون به مسائل و همه امور جنبهٔ قطعیت می بخشند. دانای کل خدای متن است و هرچه او می گوید واقعییت مطلق شمرده می شود. در متون کلاسیک با پایان بسته و خوش و همچنین توجه به بیان حوادث و اتفاقات بیرونی بر بیان دغدغه های درونی و فردی ارجحیت دارد.
176,دهه 1920 میلادی,دهه ی 1920 میلادی، دوره ی پرفراز و نشیبی بود و تغییرات بزرگ متعددی در این دهه به وقوع پیوست. مدرنیسم، تقریبا بر همه ی جنبه های هنر، ادبیات و فرهنگ عامه ی مردم در این زمان تأثیر گذاشت و بهترین نامی که برای توصیف جنبش های ادبی و فرهنگی این دهه می توان انتخاب کرد، «تجربی» خواندن آن هاست. فیتزجرالد و همینگوی، محبوب ترین نویسندگان این دهه به حساب می آمدند.
283,صد کتاب قرن لوموند,«کتاب های برتر قرن»، نام لیستی از بهترین کتاب های قرن بیستم است که حاصل نظرسنجی انجام شده توسط روزنامه ی پاریسی لوموند در بهار سال 1999 بوده است. هفده هزار رأی دهنده ی فرانسوی، ابتدا از لیستی با 200 عنوان که توسط کتاب فروشی ها و روزنامه نگاران ایجاد شده بود، به سوال «کدام کتاب ها در ذهن شما باقی مانده اند؟» جواب دادند. این لیست تشکیل شده از آثار برتر و موفق، ترکیبی است از رمان، شعر، نمایشنامه و همچنین کتاب مصور. گفتنی است که به خاطر ملیت جمعیت رأی دهنده در نظرسنجی، بیشتر، رمان های فرانسوی در این لیست به چشم می خورند؛ اگرچه این موضوع بدین معنی نیست که آثار سایر فرهنگ ها و ملیت ها در این لیست غایب باشند و با نگاهی گذرا نیز می توان برترین آثار ادبی جهان را در این فهرست ارزشمند پیدا کرد.
730,1001 رمانی که باید قبل از مرگ بخوانید,این فهرست بلندبالا و ارزشمند، مرجعی ادبی از کتاب های داستانی است که توسط بیش از صد منتقد و پژوهشگر ادبیات از سراسر جهان به وجود آمده و پیتر باکسل، استاد زبان انگلیسی در دانشگاه ساسکس در انگلستان، آن را ویرایش کرده است. فهرست «1001 رمانی که باید قبل از مرگ بخوانید» از بهترین رمان ها و داستان های کوتاه سراسر جهان در تمام اعصار تشکیل شده است.*این فهرست در سایت ایران کتاب در حال تکمیل می باشد*
892,فهرست برترین کتاب های سوررئالیستی,«سوررئالیسم»، مکتب فکری و جنبشی در ادبیات، تئاتر و سایر هنرها است که تلاش می کند مرزهای میان قلمرو واقعیت و خیال را از بین ببرد. آثار هنری سوررئالیستی به واسطه ی کنار هم قرار دادن تصاویر متضاد، غیرمنطقی و متناقض، تفاوت های میان افکار خودآگاه و ناخودآگاه را در یکدیگر ترکیب می کنند و دنیایی جدید را به وجود می آورند. فهرست پیش رو که از ترکیب فهرست های The Atlantic – Lithub و Goodreads به وجود آمده، برترین آثار سوررئالیستی را در خود جا داده است.
293,مجموعه مقالات,مجموعه مقالات، اثری حاوی چندین مقاله از نویسنده ای است که نظرات و عقاید خود را در مورد یک موضوع و یا موضوعاتی مختلف در قالب نثری استدلالی بیان می دارد. مقالات را به دسته ی رسمی و غیررسمی طبقه بندی می کنند. مقالات رسمی بیشتر درمورد موضوعات جدی و جهان شمول هستند در حالی که مقالات غیررسمی، بیشتر به مسائل، نظرات و تجارب شخصی می پردازند.
487,کتاب مرجع,
564,عکاسی,
168,دهه 2000 میلادی,اولین دهه از قرن بیست و یک، دورانی طوفانی و پر اتفاق در دنیای ادبیات بود. در این دهه، بازار خاطره نویسی و شرح حال بسیار رونق گرفت و پسرکی جادوگر به نام هری پاتر، غوغایی در جهان به راه انداخت. در آثار این دهه، تعریف و معنای حقیقت مورد کنکاش و واکاوی نویسندگان مختلف قرار گرفت.
353,اجتماعی,آثاری که در این دسته جای می گیرند، به نقد، تفسیر و توصیف مسائل گوناگون اجتماعی در جوامع مختلف می پردازند. نویسندگان این عناوین تلاش می کنند تا مخاطب خود را با شرایط زندگی در جامعه ای خاص آشنا سازند.
101,داستان تاریخی,داستان تاریخی نوعی از نگارش است که مرز میان تاریخ و ادبیات به شمار می رود. در این گونه کتاب ها معمولا از هیچ منبعی یاد نشده و یا از منابع کمی یاد می شود. در رمان تاریخی، دروغ یا حقیقت داشتن مطلب مهم نیست بلکه نوع نوشتار اهمیت دارد و اثر از نظر ادبی مورد ارزیابی قرار می گیرد. عنصر کلیدی در داستان های تاریخی این است که روایت کلی در گذشته جریان دارد و به مسائلی چون اخلاقیات، وضعیت اجتماعی و جزئیات دیگر یک دوره ی زمانی خاص در گذشته می پردازد. این گونه از ادبیات دارای زیر-ژانرهایی چون تاریخ متناوب (یا تاریخ بدیل) و داستان فانتزی تاریخی است.
124,داستان جنگی,داستان جنگی، به گونه ای از ادبیات اطلاق می شود که میدان جنگ و یا محیطی غیرجنگی در زمان نبرد را به عنوان طرح اصلی داستان خود برگزیده است. شخصیت های این داستان ها، یا در زمان جنگ به سر می برند و یا دوران پس از نبرد را سپری می کنند. بسیاری از داستان های جنگی در طبقه بندی داستان های تاریخی نیز قرار می گیرند.
796,ادبیات فارسی,
133,زندگی نامه,زندگی نامه یا سرگذشت نامه یا بیوگرافی سبکی در ادبیات است که مربوط می شود به شرح و توصیف رخدادها و روند زندگی یک یا چند نفر. بیشتر زندگینامه ها بر پایه یادداشت های شخصی افراد ترتیب داده می شوند و داستان هایی واقعی هستند و نه تخیلی. یک زندگی نامه به فهرست کردن اطلاعات در مورد یک شخص مانند زادگاه و زادروز و تاریخ رخدادها محدود نمی شود و به توضیح و گاه تحلیل رویدادها می پردازد.
292,سیاسی,کتاب های سیاسی به طور عمده به مسائلی چون توزیع قدرت و منابع در جامعه ای مشخص و ارتباطات میان جوامع می پردازند.
300,تاریخی,کتاب های تاریخی، گونه ای محبوب از آثار مکتوب هستند و با روایتی نظام مند و به هم پیوسته، به تشریح و توصیف رویدادهای گذشته ی یک ملت، کشور، دوره ی زمانی، شخص و ... می پردازند و معمولا به ترتیب وقوع رویدادها، آن ها را روایت می کنند.
116,ادبیات نوجوان,کودکانی که به مرز نوجوانی و پس از آن می رسند می توانند رمان های متناسب با نیازهای خود را مطالعه کنند. امروزه این رمان ها اغلب در قالب فانتزی یا داستان های علمی تخیلی منتشر می شود. البته داستان های واقع گرایی که بازتاب دهندهٔ احساسات و درگیری های زیستی و اجتماعی نوجوانان در موضوعاتی مانند جدایی پدر و مادر، مرگ نزدیکان، بیماری ها و عشق های دورهٔ نوجوانی است نیز به فراوانی منتشر می شود. موضوع اصلی و خط داستانی این آثار، معمولا به مسائلی چون سن و تجربیات شخصیت اصلی می پردازد
505,کتاب نوجوان,
1291,پرفروش ترین های چاپ 1402,
152,ادبیات روسیه,ادبیات روسیه را می توان با اطمینان، جزء تأثیرگذارترین و جریان سازترین جریان های ادبی دنیا برشمرد. نویسندگان روس، نقش بسزایی در شکل گیری و توسعه ی ژانرهای متعدد ادبی، به خصوص رئالیسم، داشتند. ادبیات روسیه با معرفی نویسندگان بزرگی چون ولادیمیر ناباکوف، آنتون چخوف، فئودور داستایوفسکی، لئو تولستوی و ...، جایگاه ویژه ای در ادبیات بین الملل دارد.
171,دهه 1970 میلادی,ادبیات در دهه ی 1970 میلادی، شامل طیف گسترده ای از نویسندگان و ژانرها می شود. شعر، رمان و داستان کوتاه، قالب های اصلی بیان احساسات هنرمندان در این دهه هستند و بسیاری از رمان های نوشته شده در دهه ی 1970، موضوع «بیگانگی انسان از ریشه های معنوی خود» را در مرکز توجه قرار داده اند.
21,داستان ماجرایی,داستان ماجرایی، یکی از انواع داستان های واقع گرا است که به دلیل تحرک و ماجراپردازی با روحیه ی ماجراجویی نوجوانان بسیار همخوانی دارد. با وجود این که معمولا داستان های واقع گرا به رویدادهای عادی زندگی می پردازند، ولی در نوع ماجرایی این داستان ها، با اتفاقاتی روبه رو هستیم که علیرغم امکان به وقوع پیوستن آن ها، جزء ماجراهای روزمره به حساب نمی آیند. این داستان ها معمولا حول محور اتفاقات می چرخند و نه شخصیت ها؛ گرچه شخصیت ها نیز محور ماجرا پردازی واقع می شوند. ماجراها گاه پلیسی هستند، گاه مرموز، و زمانی هم جنگی و مربوط به وقایع غیر مترقبه.
27,داستان فانتزی,فانتزی، ژانری در ادبیات است که از جادو و دیگر اشکال فراطبیعی، به عنوان عنصر اولیه ی فضای داستان استفاده می کند. این ژانر معمولا به خاطر نگاه، حس و درون مایه ای وسیع از آثار در ژانرهای علمی تخیلی و وحشت متمایز می شود؛ هر چند که این سه ژانر نقاط مشترک بسیاری با هم دارند و مجموعا با عنوان ادبیات گمانه زن شناخته می شوند. داستان های فانتزی معمولا در داستان های سنتی که سینه به سینه نقل می شدند، ریشه دارند.
147,ادبیات آلمان,نویسندگان آلمانی، از لوتر و گوته گرفته تا برشت و گونتر گراس، تأثیر عمیقی بر دنیای مدرن داشته اند. بسیاری از شاهکارهای ادبی آلمان به طور ویژه به مسائل اقتصادی و دینی پرداخته اند و می توان این آثار را واکنشی به تغییرات اجتماعی و سیاسی در گذشته ای اغلب خشونت بار و تراژیک ارزیابی کرد. اتفاقات جنگ جهانی دوم بر ادبیات غنی این کشور تأثیر زیادی گذاشت و نویسندگان آلمانی، داستان ها و تحلیل هایی جاودان از این رویدادها خلق کرده اند.
325,جشنواره فروش (30 درصد تخفیف),خرید کتاب با تخفیف 30 درصدهر روز عناوین موجود در جشنواره بروزرسانی می گردد .
169,دهه 1990 میلادی,موضوعاتی چون وضعیت دنیا پس از پایان جنگ سرد، فروپاشی اتحاد جماهیر شوروی، اضطراب های زندگی مدرن، تنهایی و بیگانگی با دنیای پیرامون، بسیار در آثار هنرمندان این دهه به چشم می خورد. رمان در این دهه، همچنان به عنوان در دسترس ترین، مورد بحث ترین و پرطرفدار ترین قالب هنری باقی ماند.
286,زنان و فمنیسم,ادبیات فمنیستی، کتاب داستانی و یا غیرداستانی است که به حمایت از آرمان های فمینیستی چون حقوق برابر اجتماعی، سیاسی و اقتصادی برای مردان و زنان می پردازد. این گونه از ادبیات اغلب از نابرابری های حقوقی موجود در اجتماع انتقاد می کند و در راستای تصحیح این نابرابری ها قدم برمی دارد.
327,روانشناسی,کتاب های روانشناسی به علم رفتار، تفکر و ذهن (بخش های خودآگاه و ناخودآگاه) می پردازند. هدف کلی این حوزه از دانش، به عنوان یک رشته ی دانشگاهی بسیار گسترده با گرایش هایی متنوع و مختلف، درک ویژگی های مغز، چگونگی کارکرد ذهن در شرایط مختلف و هر گونه واکنش ذهنی قابل بررسی است.
114,ادبیات کودک و نوجوان,ادبیات کودک و نوجوان، گونه ای از ادبیات است که جداسازی آن از بخش های دیگر ادبیات با سن مخاطبان آن انجام می شود. این گونهٔ ادبی هنگامی پدید آمد که بزرگسالان متوجه شدند کودکان و نوجوانان به سبب گنجایش های شناختی و ویژگی های رشدی خود آمادگی پذیرش متن های سنگین را ندارند و به متن هایی نیاز دارند که پاسخگوی دورهٔ رشد آن ها باشد. این گونه آثار معمولا به مشکلات و مسائل دوران کودکی و نوجوانی انسان می پردازند و سعی می کنند تا با ارائه ی راه حل، به گونه ای راهنمای مخاطبین خود باشند.
281,داستان مصور,داستان مصور، گونه ای از ادبیات است که داستان را در قالب تصاویر و نوشته هایی دنباله دار روایت می کند. داستان های مصور در ابتدا فقط در روزنامه ها و مجلات به انتشار می رسیدند اما در اواخر دهه ی 1920 میلادی، داستان های مصور ملوان زبل، تارزان، ماجراهای تن تن و ... به صورت کتاب عرضه شدند که این موضوع با استقبال کم نظیر مخاطبین همراه بود.
504,کتاب کودک,
832,آموزش زبان خارجی,
299,داستان عرفانی,داستان عرفانی، گونه ای از ادبیات است که موضوعاتی ذهنی و روحانی و تفکراتی چون گسترش آگاهی، معنویت، عرفان و فراروانشناسی را دست مایه ی پیشبرد داستان خود قرار می دهد. این ژانر گاها زیرمجموعه ی ژانر «داستان های گمانه زن» تلقی می شود.
29,ادبیات انگلیس,موضوعات متعددی چون به وجود آمدن رمان، درخشش کمدی های انگلیسی، شعر و شاعری و گوناگونی نژادی دورگه های بریتانیایی برنده ی جایزه ی نوبل، همگی در زیر سایه ی ادبیات انگلیس قرار می گیرند. ادبیات برتانیا، به خاطر جنبش های ادبی بزرگی چون رمانتیسیسم و مدرنیسم، و نویسندگان تأثیرگذاری چون جفری چاوسر، جان دان، ساموئل جانسون، ویلیام وردزورث، جین آستن، چارلز دیکنز ، ویرجینیا وولف و ... شناخته می شود.
120,داستان تریلر,تریلر به داستان پلات محور جذابی اطلاق می شود که با شرایطی خاص، قهرمانان خود را در موقعیت های خطرناکی قرار می دهد، به نحوی که خلاصی آن ها از این موقعیت ها به راحتی میسر نیست. همیشه در این داستان ها، تبه کاران مقابل قهرمانان قرار می گیرند و نبردی بین خیر و شر جریان دارد. بخشی از جذابیت این ژانر علاوه بر زیبایی خود داستان، به نوع نقل داستان از زبان راوی بستگی دارد. نویسنده با ایجاد شرایط بحرانی، حوادث مکرر و تعلیق های فراوان، آن چنان طوفانی در ذهن خواننده ایجاد می کند که توان کنار گذاشتن کتاب از او سلب می شود.
823,داستان حیوانات,
1112,مکانیک,
346,دینی و مذهبی,موضوعات مربوط به دین و مذهب در این دسته از آثار، نقشی اساسی دارند و در کانون توجه نویسنده قرار دارند. نقد و تفسیر دیدگاه های مختلف دینی نیز در این کتاب ها به چشم می خورند.
489,تاریخ ایران,
108,داستان روانشناسانه,داستان روانشناسانه، معمولا با محوریت موضوعات روانشناسی نوشته می شود. در بیشتر داستان های روانشناسی، نویسنده به دنبال مطرح کردن مسائل روانشناسانه در داستان است. در این گونه از آثار، که در چند سال گذشته از محبوبیت فوق العاده بالایی برخوردار شده اند، سوالات بنیادین روانشناسانه مطرح و ذهن و ضمیر شخصیت های داستان، به واکاوی و کنکاش گذاشته می شود.
239,داستان اجتماعی,داستان اجتماعی، گونه ای از ادبیات است که به طور عمده، به توصیف، ارزیابی و تحلیل مسائل گوناگون اجتماعی در جوامع مختلف بشری می پردازد. این گونه از داستان ها به دلیل پرداخت مستقیم به مشکلات و قابل همزادپنداری بودن با جمع کثیری از انسان ها، از محبوبیت بالایی میان مخاطبین برخوردار است.
137,ادبیات مهاجرت,ادبیات مهاجرت، یا به قلم مهاجرین نوشته شده و یا داستان زندگی این افراد را مورد بررسی قرار می دهد. این گونه ی ادبیات از دهه ی 1980 میلادی به شکل فزاینده ای از محبوبیت بالایی برخوردار شده و به انسان هایی می پردازد که خانه و فرهنگ بومی خود را به امید داشتن یک زندگی جدید در محیطی کاملا ناآشنا رها کرده اند. تاریخچه ی این نوع نگارش نشان می دهد که شروع آن به شکل امروزی عمدتا به جنگ جهانی دوم به بعد و فرار ادبای یهودی از اروپا مربوط می شود.
593,ازدواج و زناشویی,
971,ارتباطات,
509,شعر کودک,
377,خودپروری,کتاب های خودپروری، آثاری هستند که با هدف آموزش و راهنمایی مخاطبان خود در مواجهه با مشکلاتی شخصی، همچون مشکلات عاطفی، روانی، کاری و غیره، به رشته ی تحریر درآمده اند. در اواخر قرن بیستم میلادی، مخاطبین زیادی کتاب های خودپروری را مورد توجه قرار دادند و این آثار به یک پدیده ی فرهنگی پست مدرن و پرطرفدار تبدیل شدند.
801,دهه 2020 میلادی,
688,محیط زیست,
339,پزشکی,کتاب های مربوط به پزشکی، به جنبه های مختلف علم و حرفه ی تشخیص، درمان و پیشگیری بیماری ها می پردازد. موضوعاتی از قبیل علوم زیست-درمانی، تحقیقات زیست-درمانی، ژنتیک و جراحی های گوناگون نیز جزء مطالب مورد بحث در اینگونه کتاب ها هستند.
388,سلامت,
294,شعر,شعر، گونه ای کهن از ادبیات است که از ویژگی های زیبایی شناسانه و موزون زبان برای خلق و انتقال معنا و مفهوم استفاده می کند و معمولا به مفهومی ژرف تر از معنای ظاهری کلمات اشاره دارد. شعر و شاعری، تاریخ بسیار کهنی دارد و قدمت آن، به زمان تمدن سومر بازمی گردد.
24,داستان معمایی,داستان معمایی یا داستان رمزآلود، گونه ای داستان است که معمولا با محوریت تحقیق و جستجو پیرامون یک جرم نوشته می شود. در بیشتر داستان های رمزگونه، کارآگاهی به دنبال حل معمای یک جرم است. ژانر معمایی، پیوند نزدیکی با ادبیات داستانی جنایی دارد. مثل داستان های شرلوک هلمز، ریچارد هنی، خانم مارپل، پوآرو و سریال ها و فیلم های مشابه. داستان های واقعی نیز، موضوع اصلی آثار جنایی و کارآگاهی قرار گرفته اند.
123,داستان جنایی,داستان جنایی، گونه ای از ادبیات است که به جنایات، جنایتکاران، انگیزه ها و فرآیند دستگیری آنان در قالب داستانی می پردازد و خود، به چندین زیر-ژانر از جمله ادبیات پلیسی تقسیم می شود. این گونه اغلب با ژانرهایی چون داستان های تاریخی و یا علمی تخیلی اشتراکاتی دارد اما ویژگی های منحصر به فرد ادبیات جنایی، آن را از سایر گونه ها متمایز می سازد. تعلیق و اسرارآمیز بودن، از عناصر کلیدی داستان های جنایی به حساب می آیند که تقریبا در همه ی این گونه آثار به چشم می خورند.
321,ادبیات اسکاتلند,ادبیات اسکاتلند، شامل آثاری به زبان های انگلیسی، بومی اسکاتلندی، فرانسوی، لاتین و چند زبان دیگر می شود. قدمت ادبیات اسکاتلند به قرن ششم میلادی بازمی گردد. ادبیات این کشور در قرن بیستم، جان دوباره ای گرفت و ظهور نویسندگانی چون آرتور کانن دویل و موریل اسپارک، اسکاتلند را به عنوان کشوری برجسته در ادبیات اروپا مطرح ساخت.
295,نقد ادبی,نقد ادبی و یا پژوهش های ادبی، مطالعه، ارزیابی و تفسیر گونه های مختلف ادبیات است. نقد ادبی مدرن اغلب تحت تأثیر «نظریه ی ادبی» قرار دارد که گفتمانی فلسفی درباره ی اهداف و شیوه های استفاده شده در ادبیات است.
514,تعلیم و تربیت,
511,شعر نو,
591,حقوقی,
1281,روابط بین الملل,
